site,political_category,fb_id,unavailable_id,macedonian
100percentfedup.com,right,311190048935167,,0
21stcenturywire.com,left,182032255155419,,0
24dailynew.com,right,515629708825640,,1
24usnews.com,right,1430973860248840,,1
4threvolutionarywar.wordpress.com,left,,,0
63red.com,right,267165846826107,,0
aattp.org,left,108038612554992,,0
abeldanger.net,left,,,0
abncnews.com,left,197579543998318,,0
aclj.org,right,58158120046,,0
act.tv,left,153418591515382,,0
activistpost.com,left,128407570539436,,0
addictinginfo.org,left,146422995398181,,0
aei.org,right,44951363957,,0
afr.net,right,41246929603,,0
againstcronycapitalism.org,left,222149727806378,,0
ahtribune.com,left,433443503516781,,0
aim.org,right,8936818385,,0
aina.org,right,,,0
alexanderhiggins.com,left,827052560703226,,0
alexpoucher.com,left,personal_page,100003519797376,0
allenbwest.com,right,22067606728,,0
allenwestrepublic.com,right,158924294183807,,0
allpoliticalnews.com,right,,,1
altdrudge.com,right,592074077639509,,0
alternet.org,left,17108852506,,0
americablog.com,left,60190486539,,0
americanactionnews.com,right,223008867858902,,0
americanconservativeherald.com,right,186589878469568,,0
americandailypatriot.com,right,1810399205895315,,0
americanfreedomblog.com,right,personal_page,1493764085,0
americanjournalreview.com,right,1554834908172384,,0
americanlens.com,right,107222359687604,,0
americanlookout.com,right,,,0
americannews.com,right,179035672287016,,0
americannewsx.com,left,unavailable,357615034424156,0
americanpatriotdaily.com,right,769354053132340,,0
americanpoliticnews.com,right,1059410987429703,,1
americanthinker.com,right,144317282271701,,0
americantoday.news,right,689005071241062,,0
americantruepatriots.com,right,unavailable,1758142167775100,1
americanupdate.com,right,956112704484286,,0
americasfreedomfighters.com,right,568982666502934,,0
americauncensored.com,right,,,0
americauncensored.net,right,1126662784108968,,0
americonnews.com,right,107606936297999,,0
amgreatness.com,right,522359791285231,,0
amposts.com,right,unavailable,490751094464993,0
amren.com,right,19051993499,,0
analogpolitics.com,right,283521255350943,,1
analogpolitics.com,right,unavailable,671249356361167,1
anews-24.com,right,1430973860248840,,1
angelagrahamwest.org,right,428053320608798,,0
angrypatriotmovement.com,right,872535699511452,,0
animeright.news,right,,,0
anncoulter.com,right,695526053890545,,0
anotherdayintheempire.com,left,personal_page,100000639240129,0
antiwar.com,left,,,0
arcmedia.org,right,,,0
attn.com,left,160389977329803,,0
barbwire.com,right,645859405473969,,0
bb4sp.com,right,208763874023,,0
bearingarms.com,right,124538510989702,,0
beforeitsnews.com,right,156185069843,,0
behindthetyranny.com,right,592074077639509,,0
beingliberal.org,left,177486166274,,0
bients.com,left,unavailable,168450746906756,0
bigamericannews.com,right,778293698901245,,0
bigbluedimension.com,right,unavailable,1563519590610201,1
bigbluevision.org,right,unavailable,942564539125675,0
biggovernment.news,right,210937299260017,,0
bigleaguepolitics.com,right,229812467461262,,0
bignuggetnews.com,right,,,0
billmoyers.com,left,114528955231791,,0
bipartisanreport.com,left,253546571389025,,0
bizpacreview.com,right,169204449790211,,0
blackagendareport.com,left,104037195986,,0
blackandblondemedia.com,right,unavailable,812249398832889,0
blacklistednews.com,left,235651699018,,0
blacklivesmatterexposed.com,right,,,0
blingnews.com,right,129425217526985,,1
blogslucianneloves.com,right,,,0
bloodyrubbish.com,right,145008569258178,,0
blue-route.org,left,unavailable,636270796408657,0
