page_name,about,fan_count,talking_about_count,website,page_id,year,month,day
Americans Against the Tea Party,We are your go to source for political news. ,583256,43343,http://www.aattp.org,108038612554992,2009,4,3
act.tv,Rise up and Resist! Your home for movement-oriented video from a grassroots network of activists. Join us to #ResistTrump and fight for a political revolution.,285075,481748,http://act.tv,153418591515382,,,
New Blue United,,1476093,93116,www.bluetribune.com,188464111175168,,,
Obama is the Worst President in US History,,1569590,41452,,296856040436954,2013,1,1
RedFlag NewsDesk,Daily headlines from the official RedFlagNews.com iOS and Android app. -- Enjoyed by millions. Never posted twice. Save time. Stay informed.,1533,76,http://redflagnews.com,492836854251934,2016,3,16
We Support Donald Trump,This country is in deep trouble.  We believe that A Donald Trump Presidency is our only chance of survival.,1062633,32795,,532734866892797,,,
Young Progressive Voices,A new generation of progressive thought.,18379,128,http://youngprogressivevoices.com,553923781318329,2013,4,
Citizens For Trump,The American citizens' grassroots movement to elect and support Donald J. Trump as our 45th President. ,271061,20469,http://www.citizensfortrump.com,563896500417731,2015,7,
Left Scoop,Breaking Political News,498243,25154,,704811763010803,,,
Conservative World Daily,Bringing you the best conservative news from every corner of the map. ,1354663,56049,http://www.ConservativeWorldDaily.com,940295849386709,,,
Wonkette,"Welcome, Wonkette Operatives, to the Facebook home of http://wonkette.com",96322,5483,http://wonkette.com,100434040001314,2004,,
SourcesNews,Unfiltered and from reliable sources news from all around the world. Together we can make a difference.,59306,185,http://sourcesnews.com/,1014803551921469,2005,4,14
Rare America,"News, issues, politics and premium video stories from around the globe.",2982929,244614,,1019871961378419,,,
I DID NOT Vote For Hillary in 2016,,36269,68,,1035617169863710,,,
Proud Liberal,"Your source for news, stories, and events.
YOUR politics, YOUR perspective.
The PROUD Liberal. ",510991,41971,http://theproudliberal.org,1036253643101134,2016,,
We Are Liberal,,1278889,171005,dieharddemocrat.com,1036841469686059,,,
Hot Air,The top conservative blog on the web. LIKE us!,820318,7517,http://www.hotair.com,103971336305218,2008,,
Black Agenda Report,"News, commentary & analysis from the black left.",23332,1138,http://www.blackagendareport.com,104037195986,,,
Proud Progressive,The Proud Progressive is a place for Democrats to share stories and thoughts about politics that reflect progressive ideologies.,915863,78198,http://bluedotdaily.com,1046400185439764,2016,8,
Media Research Center,Get 'NewsBusted' delivered right to your inbox every Friday! http://on.fb.me/kkZNAd,1728105,80497,http://mrc.org,10498053716,2008,3,
Trump Revolution,Politic 1,53784,10417,,1059410987429703,,,
Knox Report,Sharing Conservative News and Opinions.,8256,444,http://www.knoxreport.com,1061277377271291,,,
Legal Insurrection,"Check us out on Twitter, https://twitter.com/#!/LegInsurrection",377026,7035,www.legalinsurrection.com,106154574485,,,
Proud to Be Deplorable,Welcome to Hillary's basket of deplorables!,318937,10123,thedeplorablearmy.com,1065157933581240,,,
RedState,"The most influential right of center blog and website, RedState is a must-read for elected officials and grassroots activists.",533105,12248,http://www.redstate.com,106547192707583,,,
American Lens,Your source for unique and informative news that matters. ,922,90,http://www.americanlens.com,107222359687604,2016,,
