page_id,political_category,page_name,fan_count
100434040001314,left,Wonkette,96322
1014803551921469,right,SourcesNews,59306
1019871961378419,right,Rare America,2982929
1035617169863710,right,I DID NOT Vote For Hillary in 2016,36269
1036253643101134,left,Proud Liberal,510991
1036841469686059,left,We Are Liberal,1278889
103971336305218,right,Hot Air,820318
104037195986,left,Black Agenda Report,23332
1046400185439764,left,Proud Progressive,915863
10498053716,right,Media Research Center,1728105
1059410987429703,right,Trump Revolution,53784
1061277377271291,right,Knox Report,8256
106154574485,right,Legal Insurrection,377026
1065157933581240,right,Proud to Be Deplorable,318937
106547192707583,right,RedState,533105
107222359687604,right,American Lens,922
107606936297999,right,Americon News,37149
107705785934333,right,The Federalist Papers,2300975
108038612554992,left,Americans Against the Tea Party,583256
108247159506719,right,LifeZette,1027656
1086868394685992,right,Usa News 24/7,7957
108728919161573,right,Liberty Juice,6900
1089660871073245,right,Overpasses For America,367821
1109093812491437,right,CRTV,268868
1119554641443403,right,Conservative Patriots,594885
112114435501106,right,Hugh Hewitt,131934
112415152112864,right,Conservative Lady,459427
1125333984241125,right,Conservative Fighters,19880
1126662784108968,right,America Uncensored,69
112723252096438,right,The Political Insider,3014947
1129007383778921,right,Heat Street,263470
114345125931,left,YES! Magazine,199941
114364638621903,right,ForAmerica,7923387
114469275252738,right,Unhyphenated America,20850
114517875225866,left,The Other 98%,4986386
114528955231791,left,Bill Moyers,840661
1146442485436882,right,Daily News - Politic,545
1146656498733605,left,It's Going Down,18900
114849938997087,right,Usa Daily Reports,130
1161632783864856,right,USA Politics Today,1629805
116727628853,right,RedFlag News,282797
116933681791119,right,Conservative News,557801
1170562502965493,right,USA News,93301
117719681572756,left,Center for a Stateless Society (C4SS),10185
117819051682797,right,HangTheBankers.com,18799
117899091558228,left,News Corpse,20646
1184476888286808,right,Trump Party,7524
119049414803510,right,The American Spectator,111619
119984188013847,right,WND,881973
1202208636511729,right,American Monitor Online,747326
1202861959767715,left,Left Side,13448
120680396518,left,Salon,974316
121664761245469,left,Politics Done Right with Egberto Willies,18596
1221818827889644,right,World News And Rumors,121
123624513983,right,Western Journalism,5176602
1237168256301866,right,Refined Right,414
123917457765597,right,Reagan Coalition,451049
124538510989702,right,2nd Amendment,2010825
126284487422,left,Political Wire,51705
126313621603,right,Prison Planet.TV,24247
12641323331,left,Fairness & Accuracy In Reporting,97704
126703811068849,right,Patriot News Daily,508
127191793979316,right,Counter-Currents Publishing,8197
128407570539436,left,Activist Post,560089
128475230511762,right,Bookworm Room,629
129370207168068,left,True Activist,1468115
129425217526985,right,BlingNews,4884
130631440429139,right,Saving Our Future,33293
131682593971195,left,Raw Progressive,621613
133961323610549,right,Donald Trump For President,3831381
1340186812659728,left,Truth Examiner,3573203
134176153323755,left,Left Wing Nation,115070
1349936971683802,right,Vidmax2,137385
1353320324694643,right,Political Site News,23694
135665053303678,right,Eagle Rising,687743
136264019722601,right,Rush Limbaugh,2326917
136764599915,left,The Ring of Fire,219492
1374461649456926,left,Greenville Gazette,827864
13794040506,left,Towleroad,41213
138869856179618,right,InvestmentWatch,3010
139398939438430,left,Left Action,1416061
140375152651507,left,The People's View,3117
1405080846374047,right,Rick Wells' Free Speech Patriots,63277
140738092630206,right,TheBlaze,2003329
1411473115776017,right,The Glazov Gang,8744
1414486152197718,right,Craig James,100598
141741139173942,right,The Real Side Radio Show with Joe Messina,38988
142868065759441,right,The Revolution,1668540
143021112391265,left,Jacobin Magazine,271672
1430973860248840,right,Usanews-24,9487
1435071773455316,right,Daily Wire,1575837
144317282271701,right,American Thinker,116485
144344708930358,left,NewsHounds.us,3050
1444086445825928,right,Daily Surge,35111
145008569258178,right,Bloody Rubbish,9539
145380305523723,right,Secure America Now,3532073
1462268053999457,left,Off The Main Page,24821
146422995398181,left,Addicting Info,1402884
146801948862284,right,Rodney Lee Conover,26837
146909368666979,right,The New American Magazine,44578
147765065268571,left,Rebel Pundit,5371
147772245840,right,Young Conservatives,983754
148345978571352,right,ConservativeByte,145525
1485438831785542,left,Real Progressives,116974
1486860644672164,left,Democratize US,38672
1487587521541634,right,President Donald Trump Fan Club,1333012
1488558181449522,right,FutureinAmerica,783988
149817218374125,right,Girls Just Wanna Have Guns,278801
149873221834973,left,Counter-Information,64
1507792376127891,right,Powdered Wig Society,280630
150931404928776,left,Consortiumnews.com,10154
15139936162,right,Steven Crowder,2339415
152308008195941,left,FreakOutNation,426303
1527239134221579,left,Political Dig,646801
153418591515382,left,act.tv,285075
153519965088704,right,DailyInfo,65562
15418366158,right,PJ Media,346957
1542401046056064,right,Conservative Spirit,16209
154434341237962,left,Rinf.com,11178
1544939742476831,right,Conservative 101,2122952
154494061242776,right,The American Cause,114
1546672678963050,right,Fighting For Trump,191678
154672041747,left,Right Wing Watch,143619
1554834908172384,right,American Journal Review,939793
1557469237907508,right,Patriot Journal,1192456
156185069843,right,beforeitsnews.com,405496
1564924110429668,right,U.S. Related News,65091
15704546335,right,Fox News,15563283
157718827732542,left,Political Blind Spot,24386
15779440092,right,National Review,1079653
157817631307424,right,"Red, White and Right",375277
157843634416312,right,The Federalist,55308
158924294183807,right,Allen West Republic,891902
1591828521031839,right,The Conservative Update,680075
1595723550651430,right,Free Patriot Post,223876
1598314740470404,right,Political Jungle,1847
160260190686110,left,NationofChange,105776
160389977329803,left,ATTN:,4770076
160617427472811,right,Top Right News,22866
160712560629690,right,Skepchick,23269
1608786116085025,right,Just Politcs Things,1092
161453087348302,right,The Committee to Defend the President,795896
1624162894502220,left,Shadowproof,6435
1629588830403923,right,Federalist Tribune,18150
16307558831,right,Mark Levin,1300290
163121917034901,left,JoeMyGod,27434
1631398857174555,right,Nevo News,245409
163201283712008,right,Political Cartoons by cartoonist A.F.Branco,21422
1633304150220472,right,SubjectPolitics,734390
1636990459913102,right,Make America Great,485449
1640832309490921,left,Opposition Report,1509696
1641262382839336,left,Gone Left,434121
1642685862611663,right,Liberty Hangout,73536
164858597334,right,The Shark Tank,40184
16512617979,left,The Real News Network,336372
1660184174273654,right,Daily Political Newswire,526
1665532373663056,right,GotNews,4194
1671569903078574,right,Freedom Force,47
1671971886350240,right,Newstarget.com,87511
1672814509645693,left,New Century Times,1597824
1676688675937974,left,SourcePlanet.net,5808
1690703604505977,right,The Republican News,3825
1691686751091484,right,Fury News,30076
169204449790211,right,Conservative News Today,2951286
1695168340767186,left,Proud Democrat,1194014
17108852506,left,AlterNet,967414
171190156249770,right,Tea Party Tribune,39126
1716514921967079,right,About 2DAY,1132411
1722398264701093,right,Read Conservatives,46425
172470146144666,left,CounterPunch,114613
172526489431467,right,Tea Party,435410
1726840707573399,right,Conservative Media,2457550
173718089482397,right,Patriot Rising,1735
174133289343084,right,PolitiChicks,150062
1746057572287188,right,Patriots United,2544865
1746239085597087,left,Voices4Hillary aka Voices4America,11594
1750471095167410,right,Trump Train News,131105
1754194318141624,right,Red Rock Tribune,400893
1770145919930804,right,Western Sentinel,155704
177486166274,left,Being Liberal,1674268
1782469058666070,left,Blue Democrat,491610
178739542138433,left,Glenn Beck Unhinged,949
179035672287016,right,American News,5565990
1810399205895315,right,American Daily Patriot,132851
182032255155419,left,21st Century Wire,32007
1827547780839216,right,Vanguard of Liberty,18
182919686769,right,The Daily Caller,4878084
1829896873946966,right,My Right American,186477
183356311699411,right,Silence is Consent,865626
184859785026060,right,Faith Family America,5905338
1859989890948610,right,Washington Feed,58446
186457858051439,left,Latino Rebels,102935
186473214703370,left,PoliticusUSA,662843
186589878469568,right,American Conservative Herald,134773
188165324600426,left,Democracy: A Journal of Ideas,4026
188464111175168,left,New Blue United,1476093
19051993499,right,American Renaissance,7041
1911476465739018,right,Trump Supporters,137474
19420215926,right,CNSNews.com,2182554
195442743826815,left,Washington Monthly,12250
195530355493,right,Chicks On The Right,1181335
196087640574,right,Gateway Pundit,627356
1969250316633715,right,WD Americans Online,4271993
197043394037769,right,Conservative Republic,63133
197579543998318,left,ABNC News,537036
199334810084087,right,Intrepid Report,1398
200137333331078,left,ThinkProgress,1779746
200548226627766,left,The Progressive Magazine,41180
200583909956972,left,opednews.com,10760
201956993160690,right,MRCTV,3231254
20239752285,left,The American Prospect,109550
20324257234,left,The Raw Story,1089361
205525363134528,left,Occupy Liberals,11986
205858019534497,right,Federalist Press,3626
20744822491,left,Feministing.com,283074
208385689205703,right,Patriot Tribune,126437
208763874023,right,Barracuda Brigade,214968
208799592506432,left,New Politics magazine,2056
210081569389429,right,True Pundit,2844
210277954204,left,The Young Turks,1815650
210357995667559,left,The National Memo,194950
210937299260017,right,USA Features Media,12901
212436860202,right,Human Events,740628
212848742088398,right,The College Fix,11514
214752375232773,right,Read Me Every Day,2373
215148520550,right,Patriot Update,274028
216931248339739,right,Godfather Politics,20562
217722751695604,left,Daily Progressive,235292
218610566124,left,Smirking Chimp,6513
220198801458577,right,One America News Network,199024
22067606728,right,Allen West,2750841
221573484697614,right,Conservative Post,1598130
222149727806378,left,Against Crony Capitalism,443057
222920264405712,right,iPatriot,208043
223008867858902,right,American Action News,1006279
22799114577,right,Hudson Institute,9956
228565633877379,right,Wayne Dupree Show,354010
228702593913193,right,ClashDaily.com with Doug Giles,1231022
22931596946,left,Equal Voice News,10417
229475497245882,right,Quin Hillyer,160
229633827099583,right,Victoria Jackson,57125
229812467461262,right,Big League Politics,2993
230537773698519,left,TomDispatch,41008
235651699018,left,BlackListed News,8399
235880153440564,right,Total Conservative,466
236763656409160,right,Project Veritas,165298
239225158893,right,Vision to America,14112
241732562599215,right,Freedom Outpost,107683
245481491808,right,Now The End Begins,150646
24674986856,left,Michael Moore,2265031
248272551923470,right,Patriot Outdoor News,234955
248468565222626,left,Information Clearing House,2455
249924365130007,right,MinuteMen News,76907
253546571389025,left,Bipartisan Report,1283131
255358528223922,right,The Political Herald,8199
256185128065500,right,US News Feed,17850
26595441166,left,Media Matters for America,774892
267165846826107,right,63red,50
268311603350722,left,Shareblue,1350715
269123710083,right,Michelle Malkin,1843837
269815666696444,right,Conservative Nation,98095
27088225427,right,RealClearPolitics,113010
271042954725,right,Laura Ingraham,1265334
273864989376427,left,MSNBC,1964609
277613075615568,left,Mint Press News,364876
282024895179874,right,Washington Free Beacon,730459
282183791902004,left,Modern Liberals,63973
283521255350943,right,Analog Politics,1411
288607251359,right,GOVTSLAVES.info,15005
289189664545158,right,Bradlee Dean,613624
289741874474112,right,Deneen Borelli,168905
292949924146549,right,Stacy on the Right Show,71098
296396490870,right,FrontPage Magazine,37507
296856040436954,right,Obama is the Worst President in US History,1569590
297768373319,left,David Swanson,9019
297993800365881,right,Controversial Times,5270
300341323465160,right,The Daily Signal,696614
303920943326669,right,Jayda Fransen,198024
305147709883415,left,Counter Propa,2583
305986132775543,right,Revive America,267846
306406853053018,left,Mean Left Hook Politics,85878
30719304648,right,Commentary,57920
311190048935167,right,100 Percent FED Up,1579365
318434574849521,left,Occupy.com,6298
319569361390023,right,Twitchy,1272448
320274540972,left,Revoke Corporate Personhood -- Reclaim Democracy!,5264
32109457015,left,CommonDreams,364942
32125256650,right,The American Conservative,55083
322521158087556,right,US INFO News,15463
326614387531342,right,Blue Lives Matter,1649965
329417987110870,right,Conservative Intelligence Briefing,300511
330201017032791,right,National Liberty Federation,359852
330474400493018,right,Conservative Daily,451933
33455892182,left,Crooks and Liars,132393
335723946520373,right,Patriot.tv,347
340005092689907,left,The Daily Banter,37930
341163402640457,left,NowThis,11664950
343548022384805,right,NextNewsNetwork,20192
344637645551128,right,Red Alert Politics,143337
346937065399354,left,Occupy Democrats,6665043
350154138430441,right,Liberty Unyielding,95343
352859651422892,left,GOPocalypse,112804
354522044588660,left,Upworthy,11255052
357239084310002,right,Conservative Videos,55942
358168880614,left,The New Civil Rights Movement,393218
359519977908,right,Power Line,10131
359591544295,right,Joe the Plumber,829592
35994014410,right,The Washington Times,590080
362730580442134,right,Conservative Firing Line,75351
363572153995471,left,Progressive Liberal,96461
363901400376803,right,Bullets First,3502
364255317006684,right,The New Observer,4251
369527829841639,left,Groopspeak,637321
372220329789295,right,Daily News,4346
372907709740736,left,ThePopulist.buzz,214
385640741463156,right,VDARE.com,9959
387740238090754,right,Yes I'm Right,1490848
389658314427637,right,Right Wing News,3588476
392570397445248,left,Everyday Feminism,566089
396509850402862,right,Jan Morgan,161768
398203740209235,right,Gatestone Institute,33262
40656699159,right,Washington Examiner,710784
406726216017535,right,Independent Journal Review,444677
408532246163750,right,Trump's for America,183
41246929603,right,American Family Radio,71366
415136781839268,right,The Mental Recession,63058
41632789656,right,Townhall.com,1301389
428053320608798,right,The Republican Coffee Corner with Angela,17190
42872222699,right,Dana Loesch,298285
43179984254,left,Daily Kos,1336209
433261566868387,right,Liberty Writers,1727936
433443503516781,left,AHTribune,3380
440106476051475,right,Freedom Daily,2220211
440522575997388,right,The D.C. Clothesline,108568
445073642279965,right,Political Outcast,8218
44667476574,left,In These Times,127049
44951363957,right,American Enterprise Institute,304538
454266821426024,right,Last Resistance,63
454994297918305,right,The News Doctors,1500
455410617809655,left,Democratic Underground,84090
456512747696523,left,"Economy In Crisis, INC.",24080
460197020720819,right,The Right Scoop,98576
462215667303888,left,Vessel News,11240
463855417049923,right,Dc Gazette,430482
46587884802,left,Demos,129403
475549362567960,right,Conservative Review,1542369
479687202044787,left,DeadState,187174
492836854251934,right,RedFlag NewsDesk,1533
493304957381719,right,THE NEWS COMMENTER,2180
49867377595,right,The Blacksphere,567166
501786380024121,right,Freedom Pulse,15188
50513265848,right,Citizens United,434335
507165509486196,right,Hillary for Prison,1289998
511928619002683,right,DC Statesman,383626
513600888679373,right,Dennis Michael Lynch,1025816
513813158657249,right,Mad World News,1640470
51560645913,right,The Patriot Post,519762
515629708825640,right,Usa Politics AllNews,941
519305544814653,right,Conservative Tribune,4077149
520289594804628,right,TruthFeed,654198
522359791285231,right,American Greatness,11626
532734866892797,right,We Support Donald Trump,1062633
533719316792782,right,I Hate Hillary,387025
540157359523493,left,Dissent TV,4777
542681229094582,right,Red Nation Rising,9798
544518465756524,right,Today-News-24,11036
547477122099171,right,USA Magazine Studio,54
54789869630,left,Dissent Magazine,37825
55076937573,right,Right Pundits,344
551987771496911,left,Forward Progressives,352730
552194911539549,right,Stand With Liberty,1408944
552538524928728,left,Bernie Sanders Lovers,101709
553923781318329,left,Young Progressive Voices,18379
55803739618,left,Informed Comment,11833
563531023712949,right,Truth Revolt,37945
563896500417731,right,Citizens For Trump,271061
568982666502934,right,America's Freedom Fighters,588022
572064949480977,right,The Common Sense Conservative,484089
574747565911344,right,Truth And Action,878386
58158120046,right,American Center for Law and Justice,4088359
590630060984225,right,Conservative Army,128056
591402597574018,right,Tell Me Now,2478665
592074077639509,right,Donald Trump Is Our President,3069603
597953296965194,right,SGS News,1136
60190486539,left,AMERICAblog.com,10682
607019026153835,right,U.S. Politics,49955
610045389164725,left,Liberal American,2111339
625416194262163,right,Patriotic Folks,853119
626080910791883,right,Fix This Nation,10261
6333396177,right,NewsBusters.org,2785792
634446283374728,left,Restore American Glory,303
639552979481215,right,TRUMP TRAIN,467274
644891892279936,right,End The Fed,365486
645859405473969,right,Barbwire.com,16917
64639136366,left,Truthdig,242517
651833651535152,left,Second Nexus,49360
667824596689766,right,USA Supreme,202599
689005071241062,right,USA News Studio,108345
695526053890545,right,Ann Coulter,686489
69813760388,right,Sean Hannity,3180094
704811763010803,left,Left Scoop,498243
706919156150156,right,CSC Media Group US,13465
729272437222215,left,Justice Writers,204229
730086470386080,right,Political Illusions Exposed,737
731244080298286,left,Reverb Press,792957
735302356547665,right,The American Mirror,117859
7458504675,left,The Frisky,112826
749061648443344,right,Liberty Talk FM,10133
752089438256272,right,USA 24,271222
762592150466931,left,If You Only News,579218
7629206115,left,The Nation Magazine,620870
7642602143,left,Mother Jones,1545183
767739230029205,right,Daily News 24/7,1045
768969409823211,right,IOTW Report,783
769354053132340,right,American Patriot Daily News Network,382506
776713152468040,left,In Democrats We Trust,641395
778293698901245,right,Big American News,8059
799007653446065,right,Liberty Viral,23400
80256732576,right,InfoWars,795716
811793512220923,right,The Rebel,138454
81307324765,left,Countercurrents.org,88264
822016851270450,right,The Trump Media,63551
824651571003336,right,SpartaReport,3054
825897147516847,right,Us viewer,349
827052560703226,left,Higgins News Network,743
83865976093,left,Truthout,748762
85452072376,right,Newsmax,1199572
870254066367607,right,usdefensewatch.com,1320
872535699511452,right,The Angry Patriot,1109597
879232675425585,right,Right Edition Your Conservative Right Wing News Website and Blog,1098
879307625456770,left,Daily News Bin,71497
879418882166765,right,Today Politics,242094
882703445081566,right,Political Ears,70
8936818385,right,Accuracy in Media,12471
897023440417172,right,DC Whispers,3712
903791689730369,right,Excalibur News,38453
91414372270,right,Foreign Policy Journal,15345
916120348409972,right,WeaselZippers,4248
929534787140343,right,World News Politics,2107026
940295849386709,right,Conservative World Daily,1354663
9432926737,left,Rewire,110470
945145548946376,right,Think Right Politics,1591
946155132159916,right,Insta world news,914
95475020353,right,Breitbart,3524540
956112704484286,right,American Update,33825
961038380624167,left,Jeffrey Dunetz's The Lid Blog,119187
968877143183195,left,Liberal Mountain,146796
97464672662,right,Tammy Bruce,89598
978296472213431,right,The Proud Conservative,741768
979613892126968,left,Proud Liberals,2413702
98658495398,left,Talking Points Memo,417009
993293174040189,right,Pro-America News,298593
