page_id,total_engagement.march2016,total_engagement.march2017,political_category,page_name,fan_count,growth_category
341163402640457,22751278.0,18783790.0,left,NowThis,11664950,shrunken_left
354522044588660,8231964.0,5459343.0,left,Upworthy,11255052,shrunken_left
346937065399354,26394599.0,36673027.0,left,Occupy Democrats,6665043,grown_left
114517875225866,12244729.0,19753039.0,left,The Other 98%,4986386,grown_left
160389977329803,4421326.0,5793239.0,left,ATTN:,4770076,grown_left
1340186812659728,,10240180.0,left,Truth Examiner,3573203,grown_left
979613892126968,1470734.0,5961902.0,left,Proud Liberals,2413702,grown_left
24674986856,258183.0,282455.0,left,Michael Moore,2265031,grown_left
610045389164725,,2371347.0,left,Liberal American,2111339,grown_left
273864989376427,2292659.0,2075205.0,left,MSNBC,1964609,shrunken_left
210277954204,2136335.0,2322745.0,left,The Young Turks,1815650,grown_left
200137333331078,1288136.0,1288656.0,left,ThinkProgress,1779746,grown_left
177486166274,5160854.0,5115601.0,left,Being Liberal,1674268,shrunken_left
1672814509645693,,1896647.0,left,New Century Times,1597824,grown_left
7642602143,784004.0,2181902.0,left,Mother Jones,1545183,grown_left
1640832309490921,3145538.0,1304269.0,left,Opposition Report,1509696,shrunken_left
188464111175168,,360975.0,left,New Blue United,1476093,grown_left
129370207168068,1035011.0,491825.0,left,True Activist,1468115,shrunken_left
139398939438430,533627.0,1119912.0,left,Left Action,1416061,grown_left
146422995398181,3844800.0,2183557.0,left,Addicting Info,1402884,shrunken_left
