page_id,total_engagement.march2016,total_engagement.march2017,political_category,page_name,fan_count,growth_category
15704546335,27600038.0,28339288.0,right,Fox News,15563283,grown_right
114364638621903,2856203.0,1456235.0,right,ForAmerica,7923387,shrunken_right
184859785026060,6216784.0,7990326.0,right,Faith Family America,5905338,grown_right
179035672287016,16394130.0,4449413.0,right,American News,5565990,shrunken_right
123624513983,3232290.0,2730373.0,right,Western Journalism,5176602,shrunken_right
182919686769,3200779.0,4705991.0,right,The Daily Caller,4878084,grown_right
1969250316633715,3178355.0,6614572.0,right,WD Americans Online,4271993,grown_right
58158120046,1900579.0,779320.0,right,American Center for Law and Justice,4088359,shrunken_right
519305544814653,2512689.0,2676823.0,right,Conservative Tribune,4077149,grown_right
133961323610549,8284190.0,7270320.0,right,Donald Trump For President,3831381,shrunken_right
389658314427637,7038986.0,2018064.0,right,Right Wing News,3588476,shrunken_right
145380305523723,,333056.0,right,Secure America Now,3532073,grown_right
95475020353,9066729.0,11473250.0,right,Breitbart,3524540,grown_right
201956993160690,1126835.0,1139358.0,right,MRCTV,3231254,grown_right
69813760388,2306415.0,5434544.0,right,Sean Hannity,3180094,grown_right
592074077639509,,1772735.0,right,Donald Trump Is Our President,3069603,grown_right
112723252096438,8294477.0,3194820.0,right,The Political Insider,3014947,shrunken_right
1019871961378419,519875.0,1950091.0,right,Rare America,2982929,grown_right
169204449790211,1917771.0,2179261.0,right,Conservative News Today,2951286,grown_right
6333396177,931395.0,880599.0,right,NewsBusters.org,2785792,shrunken_right
