page_id,total_engagement.march2016,total_engagement.march2017,political_category,page_name,fan_count,growth_category
100434040001314,52080.0,55029.0,left,Wonkette,96322,grown_left
1019871961378419,519875.0,1950091.0,right,Rare America,2982929,grown_right
103971336305218,96008.0,126475.0,right,Hot Air,820318,grown_right
104037195986,3905.0,3673.0,left,Black Agenda Report,23332,shrunken_left
10498053716,419447.0,601169.0,right,Media Research Center,1728105,grown_right
1061277377271291,1563.0,314.0,right,Knox Report,8256,shrunken_right
106154574485,41521.0,58839.0,right,Legal Insurrection,377026,grown_right
106547192707583,499215.0,136297.0,right,RedState,533105,shrunken_right
107606936297999,63609.0,8232.0,right,Americon News,37149,shrunken_right
107705785934333,3982474.0,2804366.0,right,The Federalist Papers,2300975,shrunken_right
108038612554992,1058338.0,1224135.0,left,Americans Against the Tea Party,583256,grown_left
108247159506719,15447.0,532611.0,right,LifeZette,1027656,grown_right
108728919161573,939.0,384.0,right,Liberty Juice,6900,shrunken_right
112114435501106,1456.0,18155.0,right,Hugh Hewitt,131934,grown_right
112415152112864,307530.0,289825.0,right,Conservative Lady,459427,shrunken_right
112723252096438,8294477.0,3194820.0,right,The Political Insider,3014947,shrunken_right
114345125931,22369.0,59475.0,left,YES! Magazine,199941,grown_left
114364638621903,2856203.0,1456235.0,right,ForAmerica,7923387,shrunken_right
114469275252738,78909.0,54978.0,right,Unhyphenated America,20850,shrunken_right
114517875225866,12244729.0,19753039.0,left,The Other 98%,4986386,grown_left
114528955231791,726135.0,956473.0,left,Bill Moyers,840661,grown_left
1161632783864856,65281.0,4913451.0,right,USA Politics Today,1629805,grown_right
116727628853,744688.0,157307.0,right,RedFlag News,282797,shrunken_right
116933681791119,96788.0,137765.0,right,Conservative News,557801,grown_right
117719681572756,1497.0,598.0,left,Center for a Stateless Society (C4SS),10185,shrunken_left
117819051682797,7027.0,5346.0,right,HangTheBankers.com,18799,shrunken_right
117899091558228,5787.0,6380.0,left,News Corpse,20646,grown_left
119049414803510,10194.0,9303.0,right,The American Spectator,111619,shrunken_right
119984188013847,1492511.0,489555.0,right,WND,881973,shrunken_right
120680396518,1535533.0,577009.0,left,Salon,974316,shrunken_left
121664761245469,116.0,45504.0,left,Politics Done Right with Egberto Willies,18596,grown_left
123624513983,3232290.0,2730373.0,right,Western Journalism,5176602,shrunken_right
123917457765597,92012.0,153611.0,right,Reagan Coalition,451049,grown_right
124538510989702,1586017.0,372538.0,right,2nd Amendment,2010825,shrunken_right
126284487422,682.0,200.0,left,Political Wire,51705,shrunken_left
126313621603,1854.0,810.0,right,Prison Planet.TV,24247,shrunken_right
12641323331,37167.0,9365.0,left,Fairness & Accuracy In Reporting,97704,shrunken_left
127191793979316,1189.0,1148.0,right,Counter-Currents Publishing,8197,shrunken_right
128407570539436,283540.0,83674.0,left,Activist Post,560089,shrunken_left
128475230511762,126.0,242.0,right,Bookworm Room,629,grown_right
129370207168068,1035011.0,491825.0,left,True Activist,1468115,shrunken_left
130631440429139,11605.0,4577.0,right,Saving Our Future,33293,shrunken_right
133961323610549,8284190.0,7270320.0,right,Donald Trump For President,3831381,shrunken_right
134176153323755,233208.0,125211.0,left,Left Wing Nation,115070,shrunken_left
135665053303678,2192149.0,637297.0,right,Eagle Rising,687743,shrunken_right
136264019722601,1624924.0,1253137.0,right,Rush Limbaugh,2326917,shrunken_right
136764599915,523724.0,279698.0,left,The Ring of Fire,219492,shrunken_left
1374461649456926,300104.0,337976.0,left,Greenville Gazette,827864,grown_left
13794040506,19336.0,42620.0,left,Towleroad,41213,grown_left
138869856179618,1930.0,4053.0,right,InvestmentWatch,3010,grown_right
139398939438430,533627.0,1119912.0,left,Left Action,1416061,grown_left
140375152651507,3076.0,284.0,left,The People's View,3117,shrunken_left
1405080846374047,83715.0,74389.0,right,Rick Wells' Free Speech Patriots,63277,shrunken_right
140738092630206,2304517.0,1345004.0,right,TheBlaze,2003329,shrunken_right
1411473115776017,3129.0,1474.0,right,The Glazov Gang,8744,shrunken_right
1414486152197718,500.0,167.0,right,Craig James,100598,shrunken_right
141741139173942,419.0,16611.0,right,The Real Side Radio Show with Joe Messina,38988,grown_right
142868065759441,3031289.0,561281.0,right,The Revolution,1668540,shrunken_right
143021112391265,64742.0,134624.0,left,Jacobin Magazine,271672,grown_left
1435071773455316,711495.0,831862.0,right,Daily Wire,1575837,grown_right
144317282271701,37907.0,3808.0,right,American Thinker,116485,shrunken_right
144344708930358,1467.0,1062.0,left,NewsHounds.us,3050,shrunken_left
1444086445825928,11193.0,10.0,right,Daily Surge,35111,shrunken_right
1462268053999457,163.0,35658.0,left,Off The Main Page,24821,grown_left
146422995398181,3844800.0,2183557.0,left,Addicting Info,1402884,shrunken_left
146801948862284,9862.0,29288.0,right,Rodney Lee Conover,26837,grown_right
146909368666979,15277.0,20074.0,right,The New American Magazine,44578,grown_right
147765065268571,320.0,,left,Rebel Pundit,5371,shrunken_left
147772245840,592728.0,808040.0,right,Young Conservatives,983754,grown_right
148345978571352,116422.0,42557.0,right,ConservativeByte,145525,shrunken_right
1485438831785542,201110.0,209598.0,left,Real Progressives,116974,grown_left
1487587521541634,827867.0,1741145.0,right,President Donald Trump Fan Club,1333012,grown_right
1488558181449522,45184.0,253158.0,right,FutureinAmerica,783988,grown_right
149817218374125,46835.0,182203.0,right,Girls Just Wanna Have Guns,278801,grown_right
149873221834973,4.0,9.0,left,Counter-Information,64,grown_left
1507792376127891,66332.0,989471.0,right,Powdered Wig Society,280630,grown_right
150931404928776,919.0,2007.0,left,Consortiumnews.com,10154,grown_left
15139936162,1870779.0,2620678.0,right,Steven Crowder,2339415,grown_right
152308008195941,1244448.0,2073894.0,left,FreakOutNation,426303,grown_left
153418591515382,409966.0,835281.0,left,act.tv,285075,grown_left
15418366158,187496.0,79284.0,right,PJ Media,346957,shrunken_right
154434341237962,518.0,,left,Rinf.com,11178,shrunken_left
154494061242776,7.0,7.0,right,The American Cause,114,flat_right
154672041747,106249.0,59216.0,left,Right Wing Watch,143619,shrunken_left
1554834908172384,14522.0,1293874.0,right,American Journal Review,939793,grown_right
1557469237907508,232874.0,1601333.0,right,Patriot Journal,1192456,grown_right
156185069843,5104.0,2554.0,right,beforeitsnews.com,405496,shrunken_right
15704546335,27600038.0,28339288.0,right,Fox News,15563283,grown_right
157718827732542,88.0,26.0,left,Political Blind Spot,24386,shrunken_left
15779440092,767562.0,771854.0,right,National Review,1079653,grown_right
157843634416312,20561.0,37246.0,right,The Federalist,55308,grown_right
158924294183807,2135465.0,3507125.0,right,Allen West Republic,891902,grown_right
1591828521031839,273557.0,203457.0,right,The Conservative Update,680075,shrunken_right
1595723550651430,73920.0,228522.0,right,Free Patriot Post,223876,grown_right
160260190686110,49999.0,18974.0,left,NationofChange,105776,shrunken_left
160389977329803,4421326.0,5793239.0,left,ATTN:,4770076,grown_left
160617427472811,900.0,240.0,right,Top Right News,22866,shrunken_right
160712560629690,14718.0,402.0,right,Skepchick,23269,shrunken_right
161453087348302,71106.0,438132.0,right,The Committee to Defend the President,795896,grown_right
1624162894502220,2769.0,876.0,left,Shadowproof,6435,shrunken_left
16307558831,927920.0,1322452.0,right,Mark Levin,1300290,grown_right
163121917034901,29649.0,59454.0,left,JoeMyGod,27434,grown_left
163201283712008,11054.0,18946.0,right,Political Cartoons by cartoonist A.F.Branco,21422,grown_right
1636990459913102,932912.0,345306.0,right,Make America Great,485449,shrunken_right
1640832309490921,3145538.0,1304269.0,left,Opposition Report,1509696,shrunken_left
1642685862611663,20960.0,144084.0,right,Liberty Hangout,73536,grown_right
164858597334,6683.0,2923.0,right,The Shark Tank,40184,shrunken_right
16512617979,43110.0,103793.0,left,The Real News Network,336372,grown_left
1665532373663056,139.0,343.0,right,GotNews,4194,grown_right
1671971886350240,14277.0,37326.0,right,Newstarget.com,87511,grown_right
1676688675937974,0.0,17.0,left,SourcePlanet.net,5808,grown_left
1690703604505977,357.0,3028.0,right,The Republican News,3825,grown_right
169204449790211,1917771.0,2179261.0,right,Conservative News Today,2951286,grown_right
1695168340767186,50559.0,2481165.0,left,Proud Democrat,1194014,grown_left
17108852506,499628.0,468519.0,left,AlterNet,967414,shrunken_left
171190156249770,514.0,7704.0,right,Tea Party Tribune,39126,grown_right
172470146144666,31638.0,74356.0,left,CounterPunch,114613,grown_left
172526489431467,717178.0,187296.0,right,Tea Party,435410,shrunken_right
173718089482397,471.0,83.0,right,Patriot Rising,1735,shrunken_right
174133289343084,21085.0,12529.0,right,PolitiChicks,150062,shrunken_right
1746057572287188,3299791.0,2425471.0,right,Patriots United,2544865,shrunken_right
1754194318141624,369699.0,242007.0,right,Red Rock Tribune,400893,shrunken_right
177486166274,5160854.0,5115601.0,left,Being Liberal,1674268,shrunken_left
178739542138433,26.0,,left,Glenn Beck Unhinged,949,shrunken_left
179035672287016,16394130.0,4449413.0,right,American News,5565990,shrunken_right
182032255155419,4391.0,12505.0,left,21st Century Wire,32007,grown_left
182919686769,3200779.0,4705991.0,right,The Daily Caller,4878084,grown_right
183356311699411,1929043.0,1190871.0,right,Silence is Consent,865626,shrunken_right
184859785026060,6216784.0,7990326.0,right,Faith Family America,5905338,grown_right
186457858051439,70683.0,76570.0,left,Latino Rebels,102935,grown_left
186473214703370,746644.0,919452.0,left,PoliticusUSA,662843,grown_left
188165324600426,86.0,218.0,left,Democracy: A Journal of Ideas,4026,grown_left
19420215926,1003821.0,563666.0,right,CNSNews.com,2182554,shrunken_right
195442743826815,1679.0,3264.0,left,Washington Monthly,12250,grown_left
195530355493,1922839.0,1922375.0,right,Chicks On The Right,1181335,shrunken_right
196087640574,1653677.0,1214147.0,right,Gateway Pundit,627356,shrunken_right
1969250316633715,3178355.0,6614572.0,right,WD Americans Online,4271993,grown_right
199334810084087,86.0,14.0,right,Intrepid Report,1398,shrunken_right
200137333331078,1288136.0,1288656.0,left,ThinkProgress,1779746,grown_left
200548226627766,5156.0,4073.0,left,The Progressive Magazine,41180,shrunken_left
200583909956972,101.0,13.0,left,opednews.com,10760,shrunken_left
201956993160690,1126835.0,1139358.0,right,MRCTV,3231254,grown_right
20239752285,19228.0,14246.0,left,The American Prospect,109550,shrunken_left
20324257234,1402696.0,3243523.0,left,The Raw Story,1089361,grown_left
205525363134528,190.0,117.0,left,Occupy Liberals,11986,shrunken_left
205858019534497,79.0,126.0,right,Federalist Press,3626,grown_right
20744822491,24906.0,5524.0,left,Feministing.com,283074,shrunken_left
208385689205703,17531.0,210020.0,right,Patriot Tribune,126437,grown_right
208763874023,1006297.0,484434.0,right,Barracuda Brigade,214968,shrunken_right
208799592506432,58.0,6.0,left,New Politics magazine,2056,shrunken_left
210277954204,2136335.0,2322745.0,left,The Young Turks,1815650,grown_left
210357995667559,27367.0,308182.0,left,The National Memo,194950,grown_left
210937299260017,21375.0,877.0,right,USA Features Media,12901,shrunken_right
212436860202,34250.0,60365.0,right,Human Events,740628,grown_right
212848742088398,5558.0,9259.0,right,The College Fix,11514,grown_right
214752375232773,9.0,1004.0,right,Read Me Every Day,2373,grown_right
215148520550,685246.0,166423.0,right,Patriot Update,274028,shrunken_right
216931248339739,10810.0,7934.0,right,Godfather Politics,20562,shrunken_right
218610566124,280.0,202.0,left,Smirking Chimp,6513,shrunken_left
220198801458577,8286.0,50709.0,right,One America News Network,199024,grown_right
22067606728,4005581.0,4940022.0,right,Allen West,2750841,grown_right
221573484697614,3186997.0,2806611.0,right,Conservative Post,1598130,shrunken_right
222149727806378,214487.0,165502.0,left,Against Crony Capitalism,443057,shrunken_left
222920264405712,22521.0,226630.0,right,iPatriot,208043,grown_right
223008867858902,561188.0,59810.0,right,American Action News,1006279,shrunken_right
22799114577,99.0,66.0,right,Hudson Institute,9956,shrunken_right
228702593913193,1686457.0,5096118.0,right,ClashDaily.com with Doug Giles,1231022,grown_right
22931596946,1348.0,2135.0,left,Equal Voice News,10417,grown_left
229475497245882,2.0,,right,Quin Hillyer,160,shrunken_right
229633827099583,5327.0,271.0,right,Victoria Jackson,57125,shrunken_right
230537773698519,28160.0,22669.0,left,TomDispatch,41008,shrunken_left
235651699018,3312.0,1944.0,left,BlackListed News,8399,shrunken_left
236763656409160,2664.0,15192.0,right,Project Veritas,165298,grown_right
241732562599215,69185.0,49205.0,right,Freedom Outpost,107683,shrunken_right
245481491808,38304.0,32786.0,right,Now The End Begins,150646,shrunken_right
24674986856,258183.0,282455.0,left,Michael Moore,2265031,grown_left
248272551923470,170376.0,18642.0,right,Patriot Outdoor News,234955,shrunken_right
249924365130007,11990.0,36535.0,right,MinuteMen News,76907,grown_right
253546571389025,1862553.0,3029988.0,left,Bipartisan Report,1283131,grown_left
26595441166,1026916.0,910115.0,left,Media Matters for America,774892,shrunken_left
268311603350722,442680.0,1130041.0,left,Shareblue,1350715,grown_left
269123710083,443763.0,79513.0,right,Michelle Malkin,1843837,shrunken_right
27088225427,7440.0,10591.0,right,RealClearPolitics,113010,grown_right
271042954725,1026612.0,1889449.0,right,Laura Ingraham,1265334,grown_right
273864989376427,2292659.0,2075205.0,left,MSNBC,1964609,shrunken_left
277613075615568,256113.0,255059.0,left,Mint Press News,364876,shrunken_left
282024895179874,798706.0,585482.0,right,Washington Free Beacon,730459,shrunken_right
282183791902004,16445.0,67461.0,left,Modern Liberals,63973,grown_left
288607251359,1713.0,2056.0,right,GOVTSLAVES.info,15005,grown_right
289189664545158,523130.0,155523.0,right,Bradlee Dean,613624,shrunken_right
289741874474112,51012.0,24180.0,right,Deneen Borelli,168905,shrunken_right
292949924146549,38575.0,105883.0,right,Stacy on the Right Show,71098,grown_right
296396490870,14663.0,6983.0,right,FrontPage Magazine,37507,shrunken_right
296856040436954,689610.0,773076.0,right,Obama is the Worst President in US History,1569590,grown_right
297768373319,1318.0,1049.0,left,David Swanson,9019,shrunken_left
297993800365881,603.0,0.0,right,Controversial Times,5270,shrunken_right
300341323465160,148152.0,215285.0,right,The Daily Signal,696614,grown_right
305986132775543,70761.0,142122.0,right,Revive America,267846,grown_right
30719304648,15424.0,3369.0,right,Commentary,57920,shrunken_right
311190048935167,1100049.0,2681282.0,right,100 Percent FED Up,1579365,grown_right
318434574849521,232.0,1059.0,left,Occupy.com,6298,grown_left
