page_id,page_name,political_category,status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,total_engagement
1636990459913102,Make America Great,right,1636990459913102_1647323082213173,Want 2 awesome Trump Bumper stickers for just $1?  Claim this offer! Limited available!,Get Trump Bumper Stickers,offer,https://www.facebook.com/makeamericagreattoday/posts/1647323082213173,2015-09-15 16:47:01,104,14,18,104,0,0,0,0,0,136
119984188013847,WND,right,119984188013847_1009755355703388,NEW: RFID Blocking Wallets,20% Off,offer,https://www.facebook.com/WNDNews/posts/1009755355703388,2015-05-04 18:51:51,87,4,23,87,0,0,0,0,0,114
1487587521541634,President Donald Trump Fan Club,right,1487587521541634_1545394409094278,WOW!! This is a nice T-Shirt,President Donald Trump Fan Club,offer,https://www.facebook.com/PresidentDonaldTrumpFanClub/posts/1545385242428528,2016-02-23 20:47:29,83,9,0,83,0,0,0,0,0,92
119984188013847,WND,right,119984188013847_1006150052730585,Learn about the deep dark secrets of church history and the anti-Semitic sins of the past,'Let the Lion Roar',offer,https://www.facebook.com/WNDNews/posts/1006150052730585,2015-04-28 11:02:48,60,14,14,60,0,0,0,0,0,88
119984188013847,WND,right,119984188013847_999081883437402,SALE: $15.99 For Our New Survival Stove,NEW Survival Stove,offer,https://www.facebook.com/WNDNews/posts/999081883437402,2015-04-17 13:59:18,45,6,18,45,0,0,0,0,0,69
119984188013847,WND,right,119984188013847_998578690154388,Super Savings at the WND Superstore,Take 20% Your Total Order,offer,https://www.facebook.com/WNDNews/posts/998578690154388,2015-04-16 15:17:55,44,5,19,44,0,0,0,0,0,68
119984188013847,WND,right,119984188013847_999089283436662,American Sniper + Free Trial Of Whistleblower,Only $4.95 Today,offer,https://www.facebook.com/WNDNews/posts/999089283436662,2015-04-18 15:00:02,43,6,8,43,0,0,0,0,0,57
330201017032791,National Liberty Federation,right,330201017032791_974069135979306,Solar Powered Backup System Provides Instant Electrical Power In Any Outage Or Disaster.,New Backup Generator,offer,https://www.facebook.com/libertyheadquarters/posts/974069135979306,2015-06-25 12:01:05,22,2,17,22,0,0,0,0,0,41
119984188013847,WND,right,119984188013847_1021373487874908,Take 60% off our bestselling survival kit!,60% OFF!,offer,https://www.facebook.com/WNDNews/posts/1021373487874908,2015-05-29 10:54:22,24,2,14,24,0,0,0,0,0,40
1487587521541634,President Donald Trump Fan Club,right,1487587521541634_1545385242428528,"Would You Like One or Two? Tap ""Get Offer"". Hurry Limited Edition!",Claim Yours Now! TAP===>,offer,https://www.facebook.com/PresidentDonaldTrumpFanClub/posts/1545385242428528,2016-02-23 19:45:37,14,4,19,14,0,0,0,0,0,37
119984188013847,WND,right,119984188013847_1010621802283410,Safer Drinking Water For 3 Years!,$10.00 OFF,offer,https://www.facebook.com/WNDNews/posts/1010621802283410,2015-05-06 16:34:31,25,3,5,25,0,0,0,0,0,33
1636990459913102,Make America Great,right,1636990459913102_1647257108886437,2 for just $1 - Limited Supplies Available!,Get Trump Bumper Stickers,offer,https://www.facebook.com/makeamericagreattoday/posts/1647257108886437,2015-09-15 13:52:31,20,3,2,20,0,0,0,0,0,25
119984188013847,WND,right,119984188013847_1040891199256470,TODAY: 50% Off all WND Films,50% Off all WND Films,offer,https://www.facebook.com/WNDNews/posts/1040891199256470,2015-06-30 12:33:44,4,1,0,4,0,0,0,0,0,5
41246929603,American Family Radio,right,41246929603_10154393075804604,,AFA Online Store,offer,https://www.facebook.com/afastore.net/posts/559838494220898,2016-07-01 04:30:21,4,0,0,4,0,0,0,0,0,4
305986132775543,Revive America,right,305986132775543_995649120475904,Limited Edition Scott Wallker 2016 Lapel Pin -- Free With a Donation of Any Amount,Scott Walker Lapel Pin,offer,https://www.facebook.com/reviveamerica/posts/995649120475904,2015-06-25 14:34:07,3,1,0,3,0,0,0,0,0,4
141741139173942,The Real Side Radio Show with Joe Messina,right,141741139173942_1077343822280331,FREE American Sniper DVD FREE! to the 55th eMail received at Joe@TheRealSide.com,American Sniper DVD-Free!,offer,https://www.facebook.com/therealsideradio/posts/1077343822280331,2015-05-27 05:00:01,2,0,2,2,0,0,0,0,0,4
