site,domain,political_category,date_registered,year_registered,month_registered
4threvolutionarywar.wordpress.com,wordpress.com,left,,,
counterinformation.wordpress.com,wordpress.com,left,,,
newzeal.blogspot.com,blogspot.com,right,,,
sharpelbowsstl.blogspot.ca,blogspot.ca,right,,,
theimmoralminority.blogspot.ca,blogspot.ca,left,,,
aim.org,aim.org,right,1994-11-18,1994,1994-11
alternet.org,alternet.org,left,1994-12-07,1994,1994-12
fair.org,fair.org,left,1994-12-08,1994,1994-12
thenation.com,thenation.com,left,1995-02-23,1995,1995-02
townhall.com,townhall.com,right,1995-03-02,1995,1995-03
salon.com,salon.com,left,1995-04-18,1995,1995-04
hotair.com,hotair.com,right,1995-04-23,1995,1995-04
aclj.org,aclj.org,right,1995-05-15,1995,1995-05
hudson.org,hudson.org,right,1995-05-19,1995,1995-05
constitution.com,constitution.com,right,1995-06-08,1995,1995-06
motherjones.com,motherjones.com,left,1995-06-19,1995,1995-06
foxnews.com,foxnews.com,right,1995-06-21,1995,1995-06
rushlimbaugh.com,rushlimbaugh.com,right,1995-07-06,1995,1995-07
nationalreview.com,nationalreview.com,right,1995-07-18,1995,1995-07
amren.com,amren.com,right,1995-08-11,1995,1995-08
michaelmoore.com,michaelmoore.com,left,1995-08-13,1995,1995-08
aei.org,aei.org,right,1995-09-28,1995,1995-09
inthesetimes.com,inthesetimes.com,left,1995-10-08,1995,1995-10
antiwar.com,antiwar.com,left,1995-12-09,1995,1995-12
msnbc.com,msnbc.com,left,1995-12-15,1995,1995-12
spectator.org,spectator.org,right,1996-05-20,1996,1996-05
crtv.com,crtv.com,right,1996-05-23,1996,1996-05
progressive.org,progressive.org,left,1996-06-02,1996,1996-06
ijr.com,ijr.com,right,1996-08-15,1996,1996-08
prospect.org,prospect.org,left,1996-09-20,1996,1996-09
newstarget.com,newstarget.com,right,1996-11-02,1996,1996-11
commentarymagazine.com,commentarymagazine.com,right,1996-12-27,1996,1996-12
drudgereport.com,drudgereport.com,right,1997-02-14,1997,1997-02
aina.org,aina.org,right,1997-03-07,1997,1997-03
newcriterion.com,newcriterion.com,right,1997-04-14,1997,1997-04
commondreams.org,commondreams.org,left,1997-05-13,1997,1997-05
mrc.org,mrc.org,right,1997-06-21,1997,1997-06
billmoyers.com,billmoyers.com,left,1997-07-03,1997,1997-07
theamericancause.org,theamericancause.org,right,1997-08-06,1997,1997-08
demos.org,demos.org,left,1997-10-31,1997,1997-10
afr.net,afr.net,right,1998-03-04,1998,1998-03
drudge.com,drudge.com,right,1998-03-06,1998,1998-03
hannity.com,hannity.com,right,1998-03-26,1998,1998-03
frontpagemag.com,frontpagemag.com,right,1998-04-27,1998,1998-04
dailywire.com,dailywire.com,right,1998-05-14,1998,1998-05
consortiumnews.com,consortiumnews.com,left,1998-05-18,1998,1998-05
cnsnews.com,cnsnews.com,right,1998-06-11,1998,1998-06
newsmax.com,newsmax.com,right,1998-07-18,1998,1998-07
victoriajackson.com,victoriajackson.com,right,1998-08-06,1998,1998-08
occupy.com,occupy.com,left,1998-09-10,1998,1998-09
washingtontimes.com,washingtontimes.com,right,1998-09-14,1998,1998-09
wnd.com,wnd.com,right,1998-09-23,1998,1998-09
washingtonmonthly.com,washingtonmonthly.com,left,1998-09-27,1998,1998-09
counterpunch.com,counterpunch.com,left,1998-11-23,1998,1998-11
counterpunch.org,counterpunch.org,left,1998-11-23,1998,1998-11
loudobbs.com,loudobbs.com,right,1999-01-04,1999,1999-01
anncoulter.com,anncoulter.com,right,1999-01-27,1999,1999-01
unionleader.com,unionleader.com,right,1999-02-04,1999,1999-02
michellemalkin.com,michellemalkin.com,right,1999-02-09,1999,1999-02
infowars.com,infowars.com,right,1999-03-07,1999,1999-03
conservativehq.com,conservativehq.com,right,1999-03-10,1999,1999-03
breitbart.com,breitbart.com,right,1999-03-14,1999,1999-03
hughhewitt.com,hughhewitt.com,right,1999-04-15,1999,1999-04
thenewamerican.com,thenewamerican.com,right,1999-04-15,1999,1999-04
yesmagazine.org,yesmagazine.org,left,1999-05-28,1999,1999-05
rightwingwatch.org,rightwingwatch.org,left,1999-08-02,1999,1999-08
talkleft.com,talkleft.com,left,1999-08-15,1999,1999-08
pjmedia.com,pjmedia.com,right,1999-08-26,1999,1999-08
truthinmedia.com,truthinmedia.com,right,1999-09-03,1999,1999-09
